href,items__added_at,items__added_by__external_urls__spotify,items__added_by__href,items__added_by__id,items__added_by__type,items__added_by__uri,items__is_local,items__primary_color,items__track__album__album_type,items__track__album__artists__external_urls__spotify,items__track__album__artists__href,items__track__album__artists__id,items__track__album__artists__name,items__track__album__artists__type,items__track__album__artists__uri,items__track__album__external_urls__spotify,items__track__album__href,items__track__album__id,items__track__album__images__height,items__track__album__images__url,items__track__album__images__width,items__track__album__name,items__track__album__release_date,items__track__album__release_date_precision,items__track__album__total_tracks,items__track__album__type,items__track__album__uri,items__track__artists__external_urls__spotify,items__track__artists__href,items__track__artists__id,items__track__artists__name,items__track__artists__type,items__track__artists__uri,items__track__disc_number,items__track__duration_ms,items__track__episode,items__track__explicit,items__track__external_ids__isrc,items__track__external_urls__spotify,items__track__href,items__track__id,items__track__is_local,items__track__is_playable,items__track__name,items__track__popularity,items__track__preview_url,items__track__track,items__track__track_number,items__track__type,items__track__uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
https://api.spotify.com/v1/playlists/2JJEduTL1yroIvnVwKjP53/tracks?offset=0&limit=30&market=US,2021-07-28T15:55:27Z,https://open.spotify.com/user/kolbigray,https://api.spotify.com/v1/users/kolbigray,kolbigray,user,spotify:user:kolbigray,FALSE,null,album,https://open.spotify.com/artist/4GcpBLY8g8NrmimWbssM26,https://api.spotify.com/v1/artists/4GcpBLY8g8NrmimWbssM26,4GcpBLY8g8NrmimWbssM26,Mndsgn,artist,spotify:artist:4GcpBLY8g8NrmimWbssM26,https://open.spotify.com/album/4ZwuqG7srOt86hMjF0o3No,https://api.spotify.com/v1/albums/4ZwuqG7srOt86hMjF0o3No,4ZwuqG7srOt86hMjF0o3No,640,https://i.scdn.co/image/ab67616d0000b27393476302cf7c829babc93827,640,Rare Pleasure,6/4/21,day,13,album,spotify:album:4ZwuqG7srOt86hMjF0o3No,https://open.spotify.com/artist/4GcpBLY8g8NrmimWbssM26,https://api.spotify.com/v1/artists/4GcpBLY8g8NrmimWbssM26,4GcpBLY8g8NrmimWbssM26,Mndsgn,artist,spotify:artist:4GcpBLY8g8NrmimWbssM26,1,275660,FALSE,FALSE,US2S72151004,https://open.spotify.com/track/4mO992FOUR5S6l7SzaWeay,https://api.spotify.com/v1/tracks/4mO992FOUR5S6l7SzaWeay,4mO992FOUR5S6l7SzaWeay,FALSE,TRUE,Hope You're Doin' Better,40,https://p.scdn.co/mp3-preview/9e22d6eac23d049c437ede2b8802978ec759f1c1?cid=774b29d4f13844c495f206cafdad9c86,TRUE,4,track,spotify:track:4mO992FOUR5S6l7SzaWeay,0.551,0.616,8,-8.161,0,0.0319,0.484,0.0821,0.314,0.423,157.991,audio_features,4mO992FOUR5S6l7SzaWeay,spotify:track:4mO992FOUR5S6l7SzaWeay,https://api.spotify.com/v1/tracks/4mO992FOUR5S6l7SzaWeay,https://api.spotify.com/v1/audio-analysis/4mO992FOUR5S6l7SzaWeay,275661,4
,2021-07-28T16:16:16Z,https://open.spotify.com/user/kolbigray,https://api.spotify.com/v1/users/kolbigray,kolbigray,user,spotify:user:kolbigray,FALSE,null,single,https://open.spotify.com/artist/4JqpJeNOhP6bAkolNMLwFg,https://api.spotify.com/v1/artists/4JqpJeNOhP6bAkolNMLwFg,4JqpJeNOhP6bAkolNMLwFg,Jean Deaux,artist,spotify:artist:4JqpJeNOhP6bAkolNMLwFg,https://open.spotify.com/album/0LXUCKAfv8QEUMZlJy0DpK,https://api.spotify.com/v1/albums/0LXUCKAfv8QEUMZlJy0DpK,0LXUCKAfv8QEUMZlJy0DpK,640,https://i.scdn.co/image/ab67616d0000b27333931c416eec4dd7682f8a1b,640,Wikipedia,9/14/17,day,1,album,spotify:album:0LXUCKAfv8QEUMZlJy0DpK,https://open.spotify.com/artist/4JqpJeNOhP6bAkolNMLwFg,https://api.spotify.com/v1/artists/4JqpJeNOhP6bAkolNMLwFg,4JqpJeNOhP6bAkolNMLwFg,Jean Deaux,artist,spotify:artist:4JqpJeNOhP6bAkolNMLwFg,1,199970,FALSE,TRUE,TCADG1775042,https://open.spotify.com/track/5ymQzQmUWJNIMlTUAldfVZ,https://api.spotify.com/v1/tracks/5ymQzQmUWJNIMlTUAldfVZ,5ymQzQmUWJNIMlTUAldfVZ,FALSE,TRUE,Wikipedia,39,https://p.scdn.co/mp3-preview/fae1e47b799873c7fe053ef55a2e93efe48c14bf?cid=774b29d4f13844c495f206cafdad9c86,TRUE,1,track,spotify:track:5ymQzQmUWJNIMlTUAldfVZ,0.771,0.462,11,-8.717,0,0.128,0.391,0.00000572,0.267,0.875,145.908,audio_features,5ymQzQmUWJNIMlTUAldfVZ,spotify:track:5ymQzQmUWJNIMlTUAldfVZ,https://api.spotify.com/v1/tracks/5ymQzQmUWJNIMlTUAldfVZ,https://api.spotify.com/v1/audio-analysis/5ymQzQmUWJNIMlTUAldfVZ,199970,4
,2021-07-09T19:55:39Z,https://open.spotify.com/user/kolbigray,https://api.spotify.com/v1/users/kolbigray,kolbigray,user,spotify:user:kolbigray,FALSE,null,album,https://open.spotify.com/artist/3JLUCojZaHrX2LaUkSj7Ud,https://api.spotify.com/v1/artists/3JLUCojZaHrX2LaUkSj7Ud,3JLUCojZaHrX2LaUkSj7Ud,Pharoah Sanders,artist,spotify:artist:3JLUCojZaHrX2LaUkSj7Ud,https://open.spotify.com/album/0orhXwlJ4LCfDwMYVAXsdW,https://api.spotify.com/v1/albums/0orhXwlJ4LCfDwMYVAXsdW,0orhXwlJ4LCfDwMYVAXsdW,640,https://i.scdn.co/image/ab67616d0000b2732c7f47ebba5f46d079ad2d6b,640,Love Will Find a Way (Expanded Edition),1/1/78,day,9,album,spotify:album:0orhXwlJ4LCfDwMYVAXsdW,https://open.spotify.com/artist/3JLUCojZaHrX2LaUkSj7Ud,https://api.spotify.com/v1/artists/3JLUCojZaHrX2LaUkSj7Ud,3JLUCojZaHrX2LaUkSj7Ud,Pharoah Sanders,artist,spotify:artist:3JLUCojZaHrX2LaUkSj7Ud,1,308986,FALSE,FALSE,USAR10500349,https://open.spotify.com/track/4szHa9dRhiy3tJ1Jf5jz2V,https://api.spotify.com/v1/tracks/4szHa9dRhiy3tJ1Jf5jz2V,4szHa9dRhiy3tJ1Jf5jz2V,FALSE,TRUE,As You Are (feat. Phyllis Hyman),24,https://p.scdn.co/mp3-preview/95a6d9d973cbd0196602a1991121fc35bf577de0?cid=774b29d4f13844c495f206cafdad9c86,TRUE,5,track,spotify:track:4szHa9dRhiy3tJ1Jf5jz2V,0.346,0.402,8,-11.295,0,0.0347,0.333,0.00167,0.58,0.237,128.908,audio_features,4szHa9dRhiy3tJ1Jf5jz2V,spotify:track:4szHa9dRhiy3tJ1Jf5jz2V,https://api.spotify.com/v1/tracks/4szHa9dRhiy3tJ1Jf5jz2V,https://api.spotify.com/v1/audio-analysis/4szHa9dRhiy3tJ1Jf5jz2V,308987,4
,2021-07-28T16:01:44Z,https://open.spotify.com/user/kolbigray,https://api.spotify.com/v1/users/kolbigray,kolbigray,user,spotify:user:kolbigray,FALSE,null,single,https://open.spotify.com/artist/0Pi3s9W42iTzuxDp7GKIfO,https://api.spotify.com/v1/artists/0Pi3s9W42iTzuxDp7GKIfO,0Pi3s9W42iTzuxDp7GKIfO,Yakul,artist,spotify:artist:0Pi3s9W42iTzuxDp7GKIfO,https://open.spotify.com/album/5E2d2k56eIryNPIK9Emndj,https://api.spotify.com/v1/albums/5E2d2k56eIryNPIK9Emndj,5E2d2k56eIryNPIK9Emndj,640,https://i.scdn.co/image/ab67616d0000b273822c98bebc760a209430a041,640,Getting Late,8/2/19,day,6,album,spotify:album:5E2d2k56eIryNPIK9Emndj,https://open.spotify.com/artist/0Pi3s9W42iTzuxDp7GKIfO,https://api.spotify.com/v1/artists/0Pi3s9W42iTzuxDp7GKIfO,0Pi3s9W42iTzuxDp7GKIfO,Yakul,artist,spotify:artist:0Pi3s9W42iTzuxDp7GKIfO,1,337000,FALSE,FALSE,GBKPL1956944,https://open.spotify.com/track/4XBoZTHcVRvMlbvX2kXSeq,https://api.spotify.com/v1/tracks/4XBoZTHcVRvMlbvX2kXSeq,4XBoZTHcVRvMlbvX2kXSeq,FALSE,TRUE,Past Tense,9,https://p.scdn.co/mp3-preview/d1e5787583134e223f89509def733de6be3d6e73?cid=774b29d4f13844c495f206cafdad9c86,TRUE,2,track,spotify:track:4XBoZTHcVRvMlbvX2kXSeq,0.23,0.59,8,-9.369,1,0.0418,0.0347,0.0000132,0.094,0.0937,89.835,audio_features,4XBoZTHcVRvMlbvX2kXSeq,spotify:track:4XBoZTHcVRvMlbvX2kXSeq,https://api.spotify.com/v1/tracks/4XBoZTHcVRvMlbvX2kXSeq,https://api.spotify.com/v1/audio-analysis/4XBoZTHcVRvMlbvX2kXSeq,337000,4
,2021-07-09T19:56:24Z,https://open.spotify.com/user/kolbigray,https://api.spotify.com/v1/users/kolbigray,kolbigray,user,spotify:user:kolbigray,FALSE,null,album,https://open.spotify.com/artist/60k4atxgEIMFz4DWHp0le1,https://api.spotify.com/v1/artists/60k4atxgEIMFz4DWHp0le1,60k4atxgEIMFz4DWHp0le1,Braxton Cook,artist,spotify:artist:60k4atxgEIMFz4DWHp0le1,https://open.spotify.com/album/5M47M4xgmcavF3V6vjsDhE,https://api.spotify.com/v1/albums/5M47M4xgmcavF3V6vjsDhE,5M47M4xgmcavF3V6vjsDhE,640,https://i.scdn.co/image/ab67616d0000b273d87ad04df38531b6f41a3cb9,640,Fire Sign,3/27/20,day,8,album,spotify:album:5M47M4xgmcavF3V6vjsDhE,https://open.spotify.com/artist/60k4atxgEIMFz4DWHp0le1,https://api.spotify.com/v1/artists/60k4atxgEIMFz4DWHp0le1,60k4atxgEIMFz4DWHp0le1,Braxton Cook,artist,spotify:artist:60k4atxgEIMFz4DWHp0le1,1,271095,FALSE,FALSE,TCAER2073286,https://open.spotify.com/track/4QsB4bG5dLSJvC7pHxWfDm,https://api.spotify.com/v1/tracks/4QsB4bG5dLSJvC7pHxWfDm,4QsB4bG5dLSJvC7pHxWfDm,FALSE,TRUE,Moonchild,23,https://p.scdn.co/mp3-preview/347210d11ec13f69c23872d7b56b86ac217b8b4a?cid=774b29d4f13844c495f206cafdad9c86,TRUE,1,track,spotify:track:4QsB4bG5dLSJvC7pHxWfDm,0.643,0.619,7,-5.75,1,0.0916,0.408,0.242,0.0988,0.506,148.058,audio_features,4QsB4bG5dLSJvC7pHxWfDm,spotify:track:4QsB4bG5dLSJvC7pHxWfDm,https://api.spotify.com/v1/tracks/4QsB4bG5dLSJvC7pHxWfDm,https://api.spotify.com/v1/audio-analysis/4QsB4bG5dLSJvC7pHxWfDm,271096,4
,2021-07-28T16:20:23Z,https://open.spotify.com/user/kolbigray,https://api.spotify.com/v1/users/kolbigray,kolbigray,user,spotify:user:kolbigray,FALSE,null,album,https://open.spotify.com/artist/45q5PZHs50HeLBDRgio4GQ,https://api.spotify.com/v1/artists/45q5PZHs50HeLBDRgio4GQ,45q5PZHs50HeLBDRgio4GQ,Graffiti6,artist,spotify:artist:45q5PZHs50HeLBDRgio4GQ,https://open.spotify.com/album/3D6lGMj6kw3tFzXpj4Yhwv,https://api.spotify.com/v1/albums/3D6lGMj6kw3tFzXpj4Yhwv,3D6lGMj6kw3tFzXpj4Yhwv,640,https://i.scdn.co/image/ab67616d0000b2730a95bf83518548e4de9513e5,640,Colours,2010,year,13,album,spotify:album:3D6lGMj6kw3tFzXpj4Yhwv,https://open.spotify.com/artist/45q5PZHs50HeLBDRgio4GQ,https://api.spotify.com/v1/artists/45q5PZHs50HeLBDRgio4GQ,45q5PZHs50HeLBDRgio4GQ,Graffiti6,artist,spotify:artist:45q5PZHs50HeLBDRgio4GQ,1,340915,FALSE,FALSE,USCA21102796,https://open.spotify.com/track/6hkK87dAKMH7X7oo60WtC4,https://api.spotify.com/v1/tracks/6hkK87dAKMH7X7oo60WtC4,6hkK87dAKMH7X7oo60WtC4,FALSE,TRUE,This Man,13,https://p.scdn.co/mp3-preview/69edd39b0d8fed25e19818a2f0e604d61eea2574?cid=774b29d4f13844c495f206cafdad9c86,TRUE,4,track,spotify:track:6hkK87dAKMH7X7oo60WtC4,0.414,0.72,11,-6.149,0,0.0561,0.0215,0.0948,0.341,0.471,135.67,audio_features,6hkK87dAKMH7X7oo60WtC4,spotify:track:6hkK87dAKMH7X7oo60WtC4,https://api.spotify.com/v1/tracks/6hkK87dAKMH7X7oo60WtC4,https://api.spotify.com/v1/audio-analysis/6hkK87dAKMH7X7oo60WtC4,340915,4
,2021-07-28T16:23:13Z,https://open.spotify.com/user/kolbigray,https://api.spotify.com/v1/users/kolbigray,kolbigray,user,spotify:user:kolbigray,FALSE,null,album,https://open.spotify.com/artist/1fUMEn4Yk7ZUloozE0fRLL,https://api.spotify.com/v1/artists/1fUMEn4Yk7ZUloozE0fRLL,1fUMEn4Yk7ZUloozE0fRLL,Jamie Woon,artist,spotify:artist:1fUMEn4Yk7ZUloozE0fRLL,https://open.spotify.com/album/6ITNDvsL7pS6nv93kwHgwq,https://api.spotify.com/v1/albums/6ITNDvsL7pS6nv93kwHgwq,6ITNDvsL7pS6nv93kwHgwq,640,https://i.scdn.co/image/ab67616d0000b273324bea71a32e892c312eaa84,640,Making Time,10/30/15,day,10,album,spotify:album:6ITNDvsL7pS6nv93kwHgwq,https://open.spotify.com/artist/1fUMEn4Yk7ZUloozE0fRLL,https://api.spotify.com/v1/artists/1fUMEn4Yk7ZUloozE0fRLL,1fUMEn4Yk7ZUloozE0fRLL,Jamie Woon,artist,spotify:artist:1fUMEn4Yk7ZUloozE0fRLL,1,207133,FALSE,FALSE,GBUM71504053,https://open.spotify.com/track/2dk5HQv2V6hEVeGGlPvCFA,https://api.spotify.com/v1/tracks/2dk5HQv2V6hEVeGGlPvCFA,2dk5HQv2V6hEVeGGlPvCFA,FALSE,TRUE,Sharpness,53,https://p.scdn.co/mp3-preview/516a921247933b9969e7560e08c2bdc45342a2b9?cid=774b29d4f13844c495f206cafdad9c86,TRUE,3,track,spotify:track:2dk5HQv2V6hEVeGGlPvCFA,0.849,0.583,6,-7.865,0,0.0565,0.259,0.167,0.102,0.666,98.011,audio_features,2dk5HQv2V6hEVeGGlPvCFA,spotify:track:2dk5HQv2V6hEVeGGlPvCFA,https://api.spotify.com/v1/tracks/2dk5HQv2V6hEVeGGlPvCFA,https://api.spotify.com/v1/audio-analysis/2dk5HQv2V6hEVeGGlPvCFA,207133,4
,2021-07-09T19:59:19Z,https://open.spotify.com/user/kolbigray,https://api.spotify.com/v1/users/kolbigray,kolbigray,user,spotify:user:kolbigray,FALSE,null,single,https://open.spotify.com/artist/0oXcSv2sZaRTblkhsDHnba,https://api.spotify.com/v1/artists/0oXcSv2sZaRTblkhsDHnba,0oXcSv2sZaRTblkhsDHnba,Àbáse,artist,spotify:artist:0oXcSv2sZaRTblkhsDHnba,https://open.spotify.com/album/1GAubt9AgQo4i9cSNPH4So,https://api.spotify.com/v1/albums/1GAubt9AgQo4i9cSNPH4So,1GAubt9AgQo4i9cSNPH4So,640,https://i.scdn.co/image/ab67616d0000b2737b3b2c4ed32ecad5f9cdcd5f,640,Slow It Down,9/9/20,day,2,album,spotify:album:1GAubt9AgQo4i9cSNPH4So,https://open.spotify.com/artist/0oXcSv2sZaRTblkhsDHnba,https://api.spotify.com/v1/artists/0oXcSv2sZaRTblkhsDHnba,0oXcSv2sZaRTblkhsDHnba,Àbáse,artist,spotify:artist:0oXcSv2sZaRTblkhsDHnba,1,187651,FALSE,FALSE,GBKPL2014315,https://open.spotify.com/track/4hixQjNyyJVjFg1GNBhr4Q,https://api.spotify.com/v1/tracks/4hixQjNyyJVjFg1GNBhr4Q,4hixQjNyyJVjFg1GNBhr4Q,FALSE,TRUE,Slow It Down - WaTa Remix,31,https://p.scdn.co/mp3-preview/0fd002702e482e3a68188a24c9e36d8737ff888c?cid=774b29d4f13844c495f206cafdad9c86,TRUE,1,track,spotify:track:4hixQjNyyJVjFg1GNBhr4Q,0.705,0.659,10,-10.364,0,0.267,0.00281,0,0.0919,0.716,109.969,audio_features,4hixQjNyyJVjFg1GNBhr4Q,spotify:track:4hixQjNyyJVjFg1GNBhr4Q,https://api.spotify.com/v1/tracks/4hixQjNyyJVjFg1GNBhr4Q,https://api.spotify.com/v1/audio-analysis/4hixQjNyyJVjFg1GNBhr4Q,187651,4
